ts,otype,strike,dte,prem,mom1,mom2,mom3,mom6,up_run,dn_run,rng_pct,range_ratio,atr_pct,vol,vol_ratio,oi,oi_chg,resp,o5,o10,o15,o30,o60,omfe,omae,u_past15,u_past30,u30,und_ok_opt_fail
2024-10-03T10:15:00+05:30,PE,25250.0,0,5.9,-2.479338842975198,26.881720430107524,31.111111111111118,53.24675324675325,0,1,16.94915254237288,0.05305039787798408,36.07344632768362,3213900.0,1.0651752423564504,3132575.0,0.22155391678530864,-190.45663339986697,-17.966101694915263,-13.728813559322042,-30.67796610169492,-17.966101694915263,64.2372881355932,92.3728813559322,-38.13559322033899,-0.1633501052483313,-0.4002825983434542,-0.02860854690135841,True
2024-10-03T10:25:00+05:30,PE,25250.0,0,5.09,5.1652892561983474,-13.728813559322042,-15.867768595041323,5.1652892561983474,1,0,14.931237721021606,0.09743589743589742,40.69604266067921,3375000.0,1.1185682326621924,3491175.0,2.2523083231432732,931.2337418063153,-19.64636542239686,-0.7858546168958749,-5.69744597249509,2.1611001964636603,121.02161100196464,143.61493123772104,-23.37917485265226,-0.017039512082393612,-0.19921409161111503,-0.07600525768328067,False
2024-10-03T10:35:00+05:30,PE,25250.0,0,5.05,23.4718826405868,-0.7858546168958749,4.338842975206611,8.602150537634397,1,0,30.8910891089109,0.3216494845360826,35.18151815181518,2546650.0,0.8921410210936097,3665675.0,3.9421263805594546,-117.85982284159584,-4.9504950495049505,-4.158415841584158,-9.900990099009901,8.910891089108915,121.78217821782178,212.87128712871288,-19.00990099009901,-0.03681358813035072,-0.1291198525686047,-0.1102855475001673,False
2024-10-03T10:45:00+05:30,PE,25250.0,0,4.84,0.8333333333333341,-4.158415841584158,18.337408312958438,-17.966101694915263,1,0,19.834710743801654,0.237037037037037,31.41873278236914,1763600.0,0.6178233776925334,3763050.0,1.7487410011153548,-188.80395240161454,-5.991735537190084,7.438016528925627,3.305785123966945,100.20661157024793,145.86776859504133,226.4462809917356,-13.223140495867764,-0.09712407012514229,-0.02860854690135841,-0.20933336730752922,False
2024-10-03T10:55:00+05:30,PE,25250.0,0,5.2,14.285714285714294,7.438016528925627,8.333333333333341,2.1611001964636603,1,0,18.46153846153846,0.2704225352112676,26.82051282051282,1821650.0,0.6778043403439904,3928550.0,2.487477825315663,-189.01037037037054,-3.8461538461538494,5.769230769230766,20.192307692307686,116.34615384615384,131.73076923076923,203.84615384615387,-16.538461538461544,-0.044089291592857925,-0.07600525768328067,-0.3250323954181859,False
2024-10-03T11:05:00+05:30,PE,25250.0,0,5.5,10.0,5.769230769230766,20.879120879120883,8.910891089108915,1,0,19.999999999999993,0.30985915492957733,22.69090909090909,2279275.0,0.8399412222636798,4078950.0,0.5286506469500925,-461.113124970297,13.636363636363635,76.18181818181817,107.27272727272728,103.63636363636361,27.27272727272727,187.27272727272728,-18.181818181818183,-0.04527982342828743,-0.1102855475001673,-0.2719981173886555,False
2024-10-03T11:15:00+05:30,PE,25250.0,0,9.69,55.03999999999999,76.18181818181817,93.8,100.20661157024793,3,0,55.21155830753354,1.725806451612903,16.009631922944614,9416200.0,3.7536612468420345,4146675.0,0.2999316687931983,-685.1176189112175,17.64705882352942,16.099071207430345,54.79876160990713,22.807017543859658,-4.540763673890604,63.05469556243551,-38.08049535603715,-0.1369107981036396,-0.20933336730752922,-0.1934699473408194,False
2024-10-03T11:25:00+05:30,PE,25250.0,0,11.25,-1.3157894736842135,16.099071207430345,80.0,116.34615384615384,0,1,28.888888888888886,0.4037267080745342,15.217777777777778,8144425.0,3.24668257899274,5179125.0,10.608341875961045,-292.5905308464819,33.33333333333333,-0.44444444444445075,14.66666666666667,7.111111111111118,-23.111111111111107,40.44444444444445,-40.44444444444444,-0.27341964816344266,-0.3250323954181859,-0.09460216935951489,False
2024-10-03T11:35:00+05:30,PE,25250.0,0,11.2,-25.333333333333336,-0.44444444444445075,-1.75438596491229,103.63636363636361,0,1,52.321428571428584,0.5181255526083113,19.904761904761905,6467650.0,2.5782552582929297,6064350.0,9.720783597110588,594.8046783625763,15.178571428571438,6.25000000000001,3.1250000000000133,-37.49999999999999,-66.51785714285714,41.071428571428584,-69.64285714285714,-0.002949516082728027,-0.2719981173886555,-0.0597786224567076,True
2024-10-03T11:45:00+05:30,PE,25250.0,0,11.9,-7.751937984496124,6.25000000000001,-20.666666666666664,22.807017543859658,0,1,28.151260504201677,0.2887931034482758,21.00280112044818,4559650.0,1.0239731410990591,6599875.0,7.922212774307486,3889.6580246955505,-2.941176470588232,1.2605042016806753,-14.369747899159671,-22.268907563025213,-50.0,17.647058823529406,-71.42857142857143,-0.005313234874493697,-0.1934699473408194,-0.10646714081608898,True
