i,direction,label,u5,u15,u30,u45,u60,u5_raw,u30_raw,mfe,mae,o5,o15,o30,o45,o60,omfe,omae,has_opt
78,PE,A_Trend-only,-0.02557934282569896,-0.04998711269752487,0.1874516726156572,0.3504955753594774,0.28215381971835596,0.02557934282569896,-0.1874516726156572,0.3504955753594774,-0.04998711269752487,0.0,0.0,-1.9047619047619049,-12.901587301587297,-23.42857142857143,16.12698412698413,-31.936507936507937,True
85,PE,A_Trend-only,0.11249078064689,0.092340258200585,0.12911985256860437,0.1940710511334265,0.23926299953243024,-0.11249078064689,-0.12911985256860437,0.26058733882028395,0.09116644135905849,0.0,34.199837530463036,25.426482534524787,34.11860276198213,28.838342810722988,57.432981316003264,-14.216084484159222,True
92,PE,A_Trend-only,0.026845479769876945,0.044089291592852575,0.09582072706181277,0.36897838253046045,0.4489269646188454,-0.026845479769876945,-0.09582072706181277,0.4489269646188454,0.026845479769876945,0.0,0.0,3.219871205151794,3.6798528058877644,11.499540018399264,19.411223551057965,-11.959521619135234,True
99,PE,A_Trend-only,0.1109751474594578,0.18816671020559506,0.19346994734081857,0.2327531853795639,0.2997311062356345,-0.1109751474594578,-0.19346994734081857,0.2997311062356345,0.1109751474594578,0.0,28.834355828220854,50.38343558282208,29.294478527607353,43.55828220858894,56.44171779141104,-36.34969325153374,True
106,PE,A_Trend-only,0.022437499753980017,-0.0316880478981485,0.08227083243124156,-0.0236184207936585,0.08128673156484467,-0.022437499753980017,-0.08227083243124156,0.11356523998284906,-0.0316880478981485,0.0,4.969809568044579,-20.188883728131298,-7.725654126025703,-6.796717758166899,13.63988233472674,-22.588636011766532,True
113,PE,A_Trend-only,-0.048669854837735116,-0.08630524865962386,0.0007881757868477557,0.10049241282282795,0.24275814234848703,0.048669854837735116,-0.0007881757868477557,0.2453197136557339,-0.13733963085786893,0.0,-14.827479017718382,-31.691016474976685,-16.770282872241225,-17.158843643145797,2.269194902082676,-37.98570096363072,True
120,PE,A_Trend-only,0.03784645770954498,0.13403953772128663,0.256252057408346,0.3717626002093466,0.4322775091511577,-0.03784645770954498,-0.256252057408346,0.4354313806269494,0.03784645770954498,0.0,12.345679012345679,39.50617283950616,94.8559670781893,115.63786008230453,142.38683127572014,-14.403292181069958,True
127,PE,A_Trend-only,0.032815987316425765,0.1476719429238993,0.18384860364020206,0.15992851649991868,0.1617076965351405,-0.032815987316425765,-0.18384860364020206,0.18879077040472314,0.032815987316425765,0.0,5.136436597110759,107.86516853932586,90.85072231139648,93.90048154093098,185.71428571428572,-25.682182985553776,True
134,PE,A_Trend-only,0.11314835291998948,0.1256104966856686,0.1127527293083852,0.11789583625929634,0.07160787370110722,-0.11314835291998948,-0.1127527293083852,0.1256104966856686,0.031056453511257853,0.0,19.08629441624365,14.61928934010153,1.015228426395939,-0.6091370558375577,34.923857868020306,-28.85279187817259,True
141,PE,A_Trend-only,-0.09308700267773862,-0.03604645635606474,-0.040799835216187574,0.3133268898642183,0.18399537337790983,0.09308700267773862,0.040799835216187574,0.45434379604836206,-0.09308700267773862,0.0,-64.31718061674009,-77.09251101321586,-93.83259911894274,-96.91629955947137,31.71806167400881,-98.6784140969163,True
148,PE,A_Trend-only,-0.06614044745796299,0.43129908551919893,0.2065403793372389,0.021188706221553222,0.04851619648861272,0.06614044745796299,-0.2065403793372389,0.4705080932936756,-0.11881517507414951,0.0,-83.33333333333334,,,,100.0,-83.33333333333334,True
155,PE,A_Trend-only,-0.06431238350823598,-0.35629854443608444,-0.0958730902298921,-0.03791254706813074,-0.3705901852157023,0.06431238350823598,0.0958730902298921,0.053593652923533686,-0.3705901852157023,0.0,-3.63636363636363,-24.633431085043988,-19.266862170087972,-7.47800586510264,5.601173020527866,-29.3841642228739,True
162,PE,A_Trend-only,-0.06831889831804272,-0.3268979843938924,-0.4520168970112426,-0.5223218098152849,-0.5969959544884995,0.06831889831804272,0.4520168970112426,-0.06831889831804272,-0.6490295340214169,0.0,-2.431962941517075,-20.353213665315565,-14.562825709322514,-23.074696004632308,0.6658946149392043,-32.165605095541395,True
187,CE,A_Trend-only,-0.005301633492182933,-0.6770382326317437,-1.185995047881605,-1.2197684167947864,-1.499773207900601,-0.005301633492182933,-1.185995047881605,-0.005301633492182933,-1.499773207900601,,,,,,,,False
198,PE,A_Trend-only,0.04204443558831761,0.07850951479525525,0.09345421938826703,0.20284945700906887,0.30766165188801375,-0.04204443558831761,-0.09345421938826703,0.30766165188801375,-0.016937331872068917,0.0,0.9983810037776547,0.5936319481921178,6.853750674581753,1.2412304371289709,17.916891527253096,-10.820291419320027,True
205,PE,A_Trend-only,0.11187042971407823,0.150357048136196,0.2644210156877991,0.24428035008864368,0.33321833877398843,-0.11187042971407823,-0.2644210156877991,0.33321833877398843,0.11187042971407823,0.0,10.559190957763237,11.094586555621659,7.079119571683526,23.52766210588936,26.710291493158838,-8.982748364069003,True
212,PE,A_Trend-only,0.04213645822099821,0.1747364973619825,0.17373800309133935,0.06689911613286803,-0.045531338741167104,-0.04213645822099821,-0.17373800309133935,0.20988349568850095,-0.045531338741167104,0.0,2.415715423413863,11.547650650384922,9.901778603663395,8.62755508362092,13.299707990443329,-9.795593310326515,True
219,PE,A_Trend-only,-0.13608083201421817,-0.14908855860380488,-0.4636754232013818,-0.37942537867492465,-0.2115256462338566,0.13608083201421817,0.4636754232013818,-0.13608083201421817,-0.47408160447304226,0.0,-15.608465608465607,-12.010582010582006,-15.317460317460311,-35.661375661375665,2.9365079365079425,-50.317460317460316,True
226,PE,A_Trend-only,0.10277410411255739,0.08325499131597303,0.12946350324256617,0.25096002167019904,0.2155069392437703,-0.10277410411255739,-0.12946350324256617,0.27685272231871005,0.08325499131597303,0.0,0.0,4.792746113989641,3.0440414507771947,0.6476683937823834,15.932642487046628,-5.764248704663215,True
