var,bucket,n,mean_var,o15_mean,o15_up,o30_mean,o30_med,o30_up,o60_mean,o60_up,omfe,omae,u30_mean,u30_up
mom2,"(-53.153999999999996, -2.918]",134,-10.46442819203271,-2.8854222909490694,45.52238805970149,-1.6129943286707429,-1.0191940563320208,47.76119402985074,-1.7395405465934464,48.507462686567166,30.719964936443084,-22.777307222694656,0.024188104494087783,55.223880597014926
mom2,"(-2.918, 0.0]",170,-0.5359477799955124,-0.022683805646611432,14.705882352941178,0.0832414840050831,0.16818537279433524,50.588235294117645,0.9733190107033418,50.0,20.173195187818244,-16.203149454577648,0.033199649363755,61.1764705882353
mom2,"(0.0, 5.241]",97,2.547968937068529,-1.343941106003583,44.329896907216494,-0.8616129604001913,-2.05162144275314,42.2680412371134,-1.2166277664176652,47.42268041237113,20.36974876462391,-18.918369589718377,0.003936137544341088,52.57731958762887
mom2,"(5.241, 115.878]",134,16.24175991586653,0.9381616447164497,51.49253731343284,1.2890020702024927,-0.88852392228758,46.26865671641791,-0.22802776036722136,41.7910447761194,25.67318195682443,-24.51035430709382,0.02935086492256627,52.98507462686567
mom3,"(-53.153999999999996, -2.918]",134,-10.46442819203271,-2.8854222909490694,45.52238805970149,-1.6129943286707429,-1.0191940563320208,47.76119402985074,-1.7395405465934464,48.507462686567166,30.719964936443084,-22.777307222694656,0.024188104494087783,55.223880597014926
mom3,"(-2.918, 0.0]",170,-0.5359477799955124,-0.022683805646611432,14.705882352941178,0.0832414840050831,0.16818537279433524,50.588235294117645,0.9733190107033418,50.0,20.173195187818244,-16.203149454577648,0.033199649363755,61.1764705882353
mom3,"(0.0, 5.241]",97,2.547968937068529,-1.343941106003583,44.329896907216494,-0.8616129604001913,-2.05162144275314,42.2680412371134,-1.2166277664176652,47.42268041237113,20.36974876462391,-18.918369589718377,0.003936137544341088,52.57731958762887
mom3,"(5.241, 115.878]",134,16.24175991586653,0.9381616447164497,51.49253731343284,1.2890020702024927,-0.88852392228758,46.26865671641791,-0.22802776036722136,41.7910447761194,25.67318195682443,-24.51035430709382,0.02935086492256627,52.98507462686567
mom6,"(-79.77900000000001, -7.995]",133,-19.813195710432414,-1.028229876219309,38.34586466165413,2.185204309582039,-0.2076843198338555,47.368421052631575,0.913495087888507,49.62406015037594,36.663200835120605,-23.888569344182816,0.049460997984254275,61.65413533834586
mom6,"(-7.995, -0.184]",132,-3.5379009259006073,-1.25379137205608,34.090909090909086,-1.128974337260164,0.9627761100040135,55.3030303030303,-0.4935266247061055,49.24242424242424,18.345217259400567,-16.918148953031167,0.01579398699317354,55.3030303030303
mom6,"(-0.184, 9.127]",132,3.9012565536449912,-0.10959302701103552,37.121212121212125,-0.8591756479211843,-0.7014043710639244,46.96969696969697,-1.8311083897694085,46.96969696969697,16.636983163452296,-16.80633346854483,0.019915592489569554,53.78787878787878
mom6,"(9.127, 306.639]",133,28.938277869684157,-0.7459596682312621,36.84210526315789,-0.5690776693255241,-1.5861825872400421,40.6015037593985,0.520160872655769,43.609022556390975,25.23447308953003,-23.483892664185014,0.017803899203667112,54.13533834586466
atr_pct,"(4.989999999999999, 10.678]",127,8.688945417078378,-0.2641025104282622,44.09448818897638,0.24558916122115906,0.052548607461899266,50.39370078740157,0.16546432871053904,44.09448818897638,12.861152580436894,-12.21910196460094,0.012372625004756069,48.031496062992126
atr_pct,"(10.678, 13.969]",127,12.233363943180587,-0.5056039118370699,38.582677165354326,0.7583986508456233,-0.1222774168895656,49.60629921259843,0.4590352228462912,50.39370078740157,17.575110059334715,-16.363575317658228,0.022377453355319456,57.48031496062992
atr_pct,"(13.969, 20.215]",126,16.597461349462716,0.08125097941160475,35.714285714285715,0.8769806130556784,-0.41609820987789464,48.41269841269841,1.6112028282738715,52.38095238095239,20.537849468249536,-18.94303557118037,0.029845761571883685,61.111111111111114
atr_pct,"(20.215, 290.253]",127,37.526571612578714,-2.571468601613045,26.77165354330709,-0.8452164633477028,-1.014656144306658,45.66929133858268,-2.2134214929089824,43.30708661417323,46.14965945653782,-32.57051395645722,0.0400530433089256,60.629921259842526
oatr,"(-0.001, 11.517]",135,6.713116925925926,-0.4788361397011898,40.0,-2.9988591281517505,-2.05162144275314,40.0,-2.5354207242187736,40.0,27.62703916966669,-23.746236112275557,0.009559114792679627,51.11111111111111
oatr,"(11.517, 15.443]",135,13.450590125925926,-2.2406372516333612,31.851851851851855,-0.6197606231068566,0.0,49.629629629629626,-3.2600267316043903,44.44444444444444,17.56837130741683,-18.130219638950592,0.0035137462963589733,54.81481481481482
oatr,"(15.443, 19.522]",135,17.345776977777774,-0.00447024409443371,37.77777777777778,0.4313581233882924,0.8343265792610114,51.85185185185185,2.093229879300237,51.85185185185185,22.602579539966367,-18.206233691147943,0.03564884237768956,60.0
oatr,"(19.522, 49.199]",135,23.855858288888893,0.04444213231899799,40.0,2.378765953205114,-0.8771929824561403,47.40740740740741,2.213150873785946,51.85185185185185,29.21057549050742,-21.48499962258732,0.05120243696482496,58.51851851851851
dte,"(-0.001, 1.0]",226,0.415929203539823,-1.4250262249942567,32.743362831858406,-1.3137025413859862,-1.0191940563320208,45.57522123893805,-2.674922237188018,45.57522123893805,35.82974053086513,-28.480174141431146,0.026938933250301826,61.504424778761056
dte,"(1.0, 2.0]",110,2.0,-0.04795272346020017,27.27272727272727,1.054905728511794,0.9625342075620376,54.54545454545454,3.184612504547255,55.45454545454545,16.20133891398134,-13.544284927461604,0.04821844365065837,62.727272727272734
dte,"(2.0, 3.0]",112,3.0,-0.10708876229317803,47.32142857142857,-0.45216316125048855,-1.5267335289471777,43.75,-0.5260088226147468,40.17857142857143,15.22431656057618,-14.79754399203313,0.0058004569666346715,42.857142857142854
