i,timestamp,direction,premium,oatr,atr_pct,oatr_chg,dte,strike,moneyness,strike_dist,mom1,mom2,mom3,mom6,u_past5,u_past15,u_past30,resp15,range_exp,prem_pos,o5,o15,o30,o45,o60,u15,u30,u60,omfe,omae,und_ok_opt_fail
78,2024-10-03T09:30:00+05:30,PE,78.75,24.042426,30.53006476190476,,0,25600.0,-0.02577460498464671,6.599999999998545,0.0,0.0,0.0,-12.109374999999995,0.07210368862147942,0.29827127998134706,-0.7271028508402212,-0.0,0.9090909090909091,0.21043627031650977,0.0,0.0,-1.9047619047619049,-12.901587301587297,-23.42857142857143,-0.049987112697519036,0.1874516726156538,0.28215381971835385,16.12698412698413,-31.936507936507937,True
81,2024-10-03T09:45:00+05:30,PE,60.3,20.135873,33.392824212271975,,0,25600.0,-0.07572386550817527,19.400000000001455,0.0,0.0,0.0,-12.086309957719793,0.010344793933662371,0.049987112697519036,0.3484074898797347,-0.0,1.3706666666666665,0.23801065719360553,0.0,0.0,16.33499170812605,27.01492537313434,42.951907131011616,0.23732015581942942,0.4002825983434542,0.42877663020992757,52.40464344941959,-12.603648424543938,False
84,2024-10-03T10:00:00+05:30,PE,58.1,17.515184,30.14661617900172,,0,25550.0,-0.03364816539246494,8.599999999998545,0.0,10.35137701804369,10.35137701804369,42.05378973105135,-0.06607886453833338,-0.23732015581942942,-0.1874516726156538,43.61777440395656,1.0870967741935484,0.8646142433234422,0.0,5.938037865748702,49.225473321858864,32.87435456110155,20.99827882960412,0.1633501052483313,0.09488000125202477,0.26429460142574035,66.78141135972461,-12.478485370051635,False
87,2024-10-03T10:15:00+05:30,PE,58.9,12.060085,20.475526315789473,,0,25500.0,-0.06603479661478022,16.849999999998545,0.0,0.0,0.0,3.971756398940865,-0.04720140703282519,-0.1633501052483313,-0.4002825983434542,0.0,1.0290697674418607,0.7472527472527472,0.0,0.0,-9.932088285229204,-5.6027164685908275,-21.986417657045834,-0.06858213298271536,0.02860854690135841,0.23788202697432123,13.667232597623096,-25.80645161290322,True
90,2024-10-03T10:30:00+05:30,PE,70.3,17.143469,24.386157894736844,,0,25550.0,0.06128998780075254,15.650000000001455,0.0,-14.839491217443973,-14.839491217443973,-18.91580161476356,0.0383944085204216,0.06858213298271536,-0.09488000125202477,216.37546941247723,0.5793650793650792,0.39682539682539675,0.0,12.802275960170698,19.91465149359886,21.692745376955905,37.055476529160735,0.09712407012514229,0.16957549340398043,0.49384456624115575,49.21763869132292,-3.982930298719769,False
93,2024-10-03T10:45:00+05:30,PE,56.1,11.52137,20.537201426024954,,0,25500.0,-0.03743695988364856,9.549999999999272,0.0,0.0,0.0,3.219871205151794,-0.026845479769882045,-0.09712407012514229,-0.02860854690135841,0.0,0.8527397260273969,0.7020547945205479,0.0,0.0,0.4456327985739751,8.02139037433155,14.1711229946524,0.07252185946047657,0.20933336730752922,0.402398317492852,20.481283422459896,-8.82352941176471,False
96,2024-10-03T11:00:00+05:30,PE,64.05,10.371152,16.192274785323967,,0,25500.0,0.03511036226440546,8.950000000000728,0.0,0.0,0.0,5.693069306930686,-0.05528295265858928,-0.07252185946047657,-0.16957549340398043,0.0,1.1577358490566034,0.7779171894604765,0.0,0.0,-0.6245120999219338,1.4832162373146023,47.61904761904762,0.1369107981036396,0.3248198877645263,0.3693453192394892,53.00546448087432,-10.226385636221698,True
99,2024-10-03T11:15:00+05:30,PE,65.2,10.553533,16.186400306748467,,0,25450.0,-0.024159191393833924,6.150000000001455,0.0,50.057537399309545,50.057537399309545,59.024390243902445,-0.1404364907353077,-0.1369107981036396,-0.20933336730752922,365.621544046633,2.8660869565217393,0.8961748633879782,0.0,28.834355828220854,50.38343558282208,29.294478527607353,43.55828220858894,0.18816671020559453,0.1934699473408194,0.2997311062356362,56.44171779141104,-36.34969325153374,False
102,2024-10-03T11:30:00+05:30,PE,67.84,10.856614,16.003263561320754,,0,25400.0,-0.032469768677496486,8.25,0.0,20.71174377224199,20.71174377224199,58.13519813519815,-0.05506986989743237,-0.18816671020559453,-0.3248198877645263,110.07124347134489,1.215086206896552,0.9786734911494989,0.0,-17.60023584905661,-8.018867924528308,-4.790683962264151,-7.9451650943396235,0.005313234874493697,0.0446705302411561,0.08205996083948539,8.195754716981135,-27.32900943396227,True
105,2024-10-03T11:45:00+05:30,PE,62.4,12.052612,19.315083333333334,,0,25400.0,-0.02715797677009574,6.900000000001455,0.0,-5.740181268882181,-5.740181268882181,-8.018867924528308,0.019880441778858275,-0.005313234874493697,-0.1934699473408194,-1080.3552646313547,0.6615821213196167,0.7410562180579215,0.0,3.509615384615392,0.08012820512821196,-17.387820512820515,2.4839743589743657,0.03935938662331886,0.10646714081608898,0.1153230028063357,17.628205128205142,-19.871794871794872,False
