label,var,bucket,n,mean_var,o5_m,o5_up,o15_m,o15_up,o30_m,o30_med,o30_up,o60_m,o60_up,mfe,mae
ALL,mom1,"(-75.001, -1.529]",7945,-8.520590765656074,0.44674653214463805,39.47136563876652,0.45159309374587975,46.5449968533669,-0.397580072870361,-1.949541284403673,44.266834487098805,-2.152139471696168,42.265575833857774,35.60308812709774,-24.481196509666905
ALL,mom1,"(-1.529, 0.0]",14689,-0.09910127333143427,-0.06200059745403828,37.87187691469807,-0.29776840953595846,46.068486622642794,-0.4455356176733647,-0.9132420091324169,44.83627204030227,-1.5204930236321992,43.2228197971271,23.81251550128948,-18.7739768917545
ALL,mom1,"(0.0, 0.925]",1200,0.47966971504605416,0.205714479384293,38.5,0.017294316771507567,45.83333333333333,0.2950335101424388,-0.4465827046356201,47.5,-0.08821472725795872,45.666666666666664,18.89821856775448,-15.468780801018802
ALL,mom1,"(0.925, 259.055]",7945,8.677433474913068,-0.16301174448077013,35.6198867212083,0.298528125204186,44.820641913152926,1.0780126776248589,-1.7763845350052248,44.73253618628068,1.6572137234648119,43.159219634990556,32.47217572440712,-23.943113647692375
ALL,mom2,"(-90.325, -5.422]",7945,-14.488570584405887,0.42549291820735247,39.04342353681561,0.22404608278044413,45.588420390182506,-0.23642766901318732,-2.91216533583843,41.88797986154814,-3.5413655549401937,38.41409691629956,41.30673319628724,-26.83003742257734
ALL,mom2,"(-5.422, 0.0]",10031,-1.810962751104235,-0.09411319264752281,39.39786661349815,-0.010169319512616138,48.35011464460173,0.4426418713346119,-0.2402055712796,48.01116538729937,0.7481566508842226,46.78496660352906,22.450606417361772,-16.91522284698981
ALL,mom2,"(0.0, 4.179]",5858,1.9723964712796027,-0.17407039557368434,35.66063502902014,-0.5051161716068818,45.64697849095254,-0.32363846106548877,-0.9361189137468008,45.16899965858655,-0.17086511940004584,45.32263571184705,19.142843727638823,-16.595406893203236
ALL,mom2,"(4.179, 1085.455]",7945,16.030601710813293,0.021852242266676185,35.84644430459408,0.36343347345801474,43.17180616740088,-0.18253544457957602,-2.6261434051342514,43.25991189427313,-0.5966327159364859,41.33417243549402,31.188806419935336,-25.04814178017717
ALL,mom3,"(-89.652, -6.874]",7945,-17.23890780928593,0.33169919000374115,38.41409691629956,0.05456387448981046,44.95909376966646,-0.5014844581495685,-3.3970276008492597,41.78728760226558,-3.935311574166741,38.4392699811202,42.57465002249602,-27.54258715534723
ALL,mom3,"(-6.874, -0.367]",7945,-3.206260695425537,0.08830515886540694,39.370673379483954,-0.03532127351032858,48.244178728760225,0.2832998052727265,-0.5277044854881154,47.48898678414097,0.37745919627245395,47.24984266834487,21.449581183679825,-16.95500614427515
ALL,mom3,"(-0.367, 5.287]",7944,2.0290172957953083,-0.11659076322832768,36.656596173212485,-0.33182703938302477,46.12286002014099,-0.5064020927678061,-0.5233605412430592,46.210976837865054,-0.3991714108883098,44.284994964753274,18.882905575221706,-16.167175181209387
ALL,mom3,"(5.287, 1230.612]",7945,19.325642073074594,-0.10325160999765044,36.48835745752045,0.5147511180726435,44.140969162995596,0.6257948220258421,-2.686470778172423,43.58716173694147,0.6375821351700182,42.265575833857774,32.050290114200656,-24.807955861472205
ALL,mom6,"(-91.399, -11.173]",7945,-25.17615231237161,0.6844229981191273,39.29515418502202,0.731539018708204,44.35494021397105,-0.14006558583322834,-4.141291108404375,40.654499685336695,-3.6241557558750523,36.76526117054751,45.224640181290575,-28.655329024267395
ALL,mom6,"(-11.173, -1.146]",7945,-5.641424747975045,0.11537725539431512,38.38892385147892,0.2871041507864719,47.89175582127124,0.3572377993519345,-0.3095314334507394,48.13089993706734,-0.10523484533141304,46.49465072372561,22.4236429997072,-17.62728410847787
ALL,mom6,"(-1.146, 7.421]",7944,2.596689153632362,-0.1821481250947073,36.73212487411883,-0.06814554873943077,48.13695871097684,0.09115259366238548,-0.4498392163054544,46.71450151057402,0.7701968043410391,46.05991943605237,19.30283402706573,-15.585042144674793
ALL,mom6,"(7.421, 2325.532]",7945,30.859593347900283,-0.41749840417416395,36.5135305223411,-0.7482977527298648,43.08370044052863,-0.40704151938562055,-2.6130653266331603,43.57457520453115,-0.3601006738377466,42.92007551919446,28.006362541965395,-23.604995794520608
ALL,rng_pct,"(-0.001, 7.112]",7945,4.607413492378744,-0.021466621734768532,41.019509125236,0.14244598611517448,48.370044052863435,0.3206618265789236,-0.11802891708467904,48.860918816865954,0.5380106235860852,48.332284455632475,13.43950623813739,-11.831978199638927
ALL,rng_pct,"(7.112, 11.134]",7945,9.107027638350848,0.18055129376845422,39.34550031466331,0.07910689172885026,47.438640654499686,0.4653802912847255,-0.8658008658008658,46.80931403398364,1.0011390300854734,45.89049716803021,22.530229920231115,-18.08178109102514
ALL,rng_pct,"(11.134, 17.851]",7944,14.07951906226102,0.08020773661275471,37.33635448136959,0.2399054757441152,45.64451158106747,0.7419627093772807,-2.382142667327466,43.78147029204431,0.7196307237902032,42.11983887210473,28.732227910052053,-22.043115177718498
ALL,rng_pct,"(17.851, 425.0]",7945,30.789678772089637,-0.039105662896304995,33.22844556324733,-0.25921971262072246,42.013845185651356,-1.6266396250193143,-5.446623093681917,39.62240402769037,-5.578081212681052,35.89679043423537,50.25670251532553,-33.51658945101349
ALL,range_ratio,"(-0.001, 0.204]",7945,0.14496536673089327,0.21858636712245127,43.23473882945248,-0.10651085036225653,43.29767149150409,0.1665392168806406,-2.6460859977949345,41.85022026431718,-1.9351595667501698,38.80427942101951,35.041768401324084,-24.98914116388277
ALL,range_ratio,"(0.204, 0.303]",7946,0.25233510631715084,0.29763568134123874,41.0646866347848,0.18088364737514384,46.55172413793103,-0.39114712814768643,-1.351532655314553,44.550717342058896,-1.1952062104755683,43.5690913667254,26.486156374291713,-20.732988800852436
ALL,range_ratio,"(0.303, 0.439]",7943,0.3640900048006781,-0.11093112023641348,36.59826262117588,0.08103981386792777,47.173611985395944,0.27045271165472495,-0.7240437158469883,46.342691678207224,0.1970827045968053,44.50459524109279,25.969169096471013,-19.292126328255247
ALL,range_ratio,"(0.439, 9.07]",7945,0.653843943877218,-0.20517966462420534,30.031466331025804,0.046793467532117654,46.44430459408433,-0.14445567244648208,-0.7258064516129078,46.33102580239144,-0.38590829237061164,45.36186280679673,27.4611598675949,-20.458680017680354
ALL,atr_pct,"(0.737, 8.594]",7945,5.738342670385679,0.02760729634407169,41.48521082441788,-0.029109751586349424,49.16299559471366,-0.14301047281205895,-0.13953146801792543,48.7098804279421,0.07746197493540294,48.181246066708624,11.814965001715823,-11.304573568345738
ALL,atr_pct,"(8.594, 12.592]",7945,10.63915923832132,-0.06854807040967387,40.31466331025803,0.2708789857663558,46.87224669603524,0.9042766098698064,-0.747663551401862,47.3882945248584,2.2619128761036307,46.49465072372561,23.52737840012686,-18.437405855479096
ALL,atr_pct,"(12.592, 18.492]",7944,15.12116682158948,0.20257938873518994,36.467774420946625,0.7072006015188838,47.45720040281974,1.3481289628636421,-1.1268413995375233,46.576032225579056,1.3850723542978134,44.83887210473313,28.027217796426452,-21.182139290875064
ALL,atr_pct,"(18.492, 567.667]",7945,34.9733519593774,0.03856353342820311,32.66205160478288,-0.7466723784790149,39.97482693517936,-2.2079536023878186,-7.547169811320753,36.40025173064821,-7.043664284529643,32.72498426683449,51.589016649150494,-34.54923683768711
ALL,vol_ratio,"(0.006939999999999999, 0.723]",7942,0.5576457231620533,-0.2039152760053033,37.87459078317804,-0.4533243419608196,45.039032989171496,-0.0961987569165809,-1.031380196791063,45.013850415512465,-0.4850040380782183,43.84286074036767,22.16468106645229,-18.20544649824389
ALL,vol_ratio,"(0.723, 0.955]",7942,0.837569366023151,-0.006184099843594409,36.791740115839836,0.4043092390946233,45.71896247796525,1.2506037399926504,-1.1780960008287704,45.4041803072274,0.6183443672921395,43.452530848652735,28.62291144595446,-20.878752210847008
ALL,vol_ratio,"(0.955, 1.308]",7941,1.1013884690312632,0.4180807202410043,38.2067749653696,0.3737278824622279,46.97141417957436,-0.13002932125286043,-1.3690476190476257,44.89359022793099,-1.2066158373763423,42.34982999622214,29.631919994161677,-21.898158762883632
ALL,vol_ratio,"(1.308, 208.0]",7942,2.4600358671898306,-0.005038042260683872,38.088642659279785,-0.12087838222356699,45.74414505162427,-1.1191915292257701,-1.6316562012704336,43.79249559304961,-2.2472082907596227,42.58373205741627,34.57670165958856,-24.514304080113405
ALL,oi_chg,"(-100.001, -0.245]",7900,-3.354280907639084,0.2815940795577786,36.64556962025316,0.36239328886806377,44.89873417721519,0.30221486257847563,-1.511687170220768,44.77215189873417,-0.4207399101493854,43.22784810126583,29.88520113693914,-22.824117765563983
ALL,oi_chg,"(-0.245, 0.0]",14585,-0.015825167772942513,-0.10985517194797698,38.34076105587933,-0.31522544371019856,46.73980116558107,-0.6465877896262369,-0.8410200759631097,45.22454576619815,-1.6082511564664164,43.681864929722316,23.197337772558363,-18.457143749658176
ALL,oi_chg,"(0.0, 0.209]",1215,0.09836124319963868,0.39231197847128824,41.81069958847737,1.5267375046151876,48.641975308641975,2.017717154890324,-0.6546080964685538,46.666666666666664,1.933759984042247,45.76131687242798,27.95630936745833,-18.979039976353242
ALL,oi_chg,"(0.209, 193.754]",7900,2.952650827591944,0.06483018584680006,36.936708860759495,0.19529336398084415,44.75949367088607,0.5073035220793353,-2.855138313510629,43.721518987341774,-0.22319699360096232,41.29113924050633,38.46839199558585,-25.976888352496054
ALL,resp,"(-109340.304, -100.865]",7938,-576.6148153370277,0.9220174092951734,37.57873519778281,1.6818303748572747,45.993953136810276,2.327613936702908,-1.6681312243702364,45.4522549760645,3.611156698876392,43.39884101788864,41.842140417989285,-24.653368985737163
ALL,resp,"(-100.865, -12.257]",7937,-54.866332029940956,-0.03271485188038517,37.59606904371929,-0.07852309100812277,47.486455839737935,-0.05434027794637733,-0.6577181208053661,47.00768552349754,-0.14108321835903284,46.10054176641048,21.530031882752077,-17.44575270777926
ALL,resp,"(-12.257, 76.719]",7937,29.734282205191118,-0.10479198183977663,39.03237999244047,-0.44499431199128514,47.13367771198186,-1.025501806645255,-0.8861374119931967,44.58863550459872,-1.118934953707911,44.43744487841754,19.477733356124272,-17.016739673220076
ALL,resp,"(76.719, 117836.7]",7938,542.5220689713302,-0.5825970733089407,36.75988914084152,-0.959991383324929,42.831947593852355,-1.3413680237835792,-2.612826603325419,41.962711010330054,-5.655502125443233,38.25900730662635,32.14379336574735,-26.36671278984834
