name,N,CE,PE,hit+15m,mean+15m,med+15m,p25+15m,p75+15m,hit+30m,mean+30m,med+30m,p25+30m,p75+30m,hit+60m,mean+60m,med+60m,p25+60m,p75+60m,mfe,mae,reach_0.25,reach_0.5,reach_0.75,reach_1.0,opt_n,opt_missing,o15_mean,o15_med,o15_up,o30_mean,o30_med,o30_up,o60_mean,o60_med,o60_up,omfe,omae,opt_missing_count
A_Trend-only,255,96,159,55.294117647058826,0.01602441098283179,0.013138576529081458,-0.06493227886885666,0.11372494905708685,56.86274509803921,0.026412499280489256,0.04029510361750477,-0.07871090199500497,0.14514883023773462,58.43137254901961,0.04192904809108465,0.05904240597804922,-0.12136262371964524,0.22599194115942578,0.201144092426603,-0.15925042695750086,30.58823529411765,8.235294117647058,1.1764705882352942,0.7843137254901961,244,11,-1.7019560906172364,0.0,34.42622950819672,-0.04170142532986796,-0.6278026905829622,45.267489711934154,0.6735862646730679,-2.0614944955419703,45.867768595041326,24.845250684478028,-20.515725578889562,11
B_Trend+Impulse,255,96,159,55.294117647058826,0.016419955312566504,0.013504552243481793,-0.060747661123011776,0.11593676509948359,56.86274509803921,0.025994221150901373,0.039533185688989114,-0.07871090199500497,0.1377212167181341,58.82352941176471,0.04137632974289515,0.05536273665053271,-0.12136262371964524,0.22599194115942578,0.2010460754517705,-0.1592587687924809,30.58823529411765,8.235294117647058,1.1764705882352942,0.7843137254901961,244,11,-1.713286274786883,0.0,34.42622950819672,0.06596333518694335,-0.4716981132075371,46.09053497942387,0.8444707949800477,-2.285790186583278,45.867768595041326,24.9354584104281,-20.541086452860576,11
C_Trend+Impulse+Pullback,196,71,125,56.12244897959183,0.007815250096474049,0.01498811771190045,-0.056984276715657534,0.09127840180322144,56.63265306122449,0.027536891952571835,0.0272834827153956,-0.08405583199262434,0.1520274350237938,57.14285714285714,0.04511350159033131,0.04007813663546855,-0.12219427415582074,0.22483577212403794,0.19932847767280176,-0.15851014596904736,30.612244897959183,9.183673469387756,2.0408163265306123,1.0204081632653061,187,9,-0.3217889334601393,0.0,37.967914438502675,0.26353035533161256,-0.347960564469355,47.56756756756757,1.6716602135404812,0.7324991623629455,51.63043478260869,32.795228742576874,-20.268716555321994,9
D_Trend+Impulse+PB+Invalidation,195,70,125,55.8974358974359,0.007461220435404405,0.014825549223962398,-0.05716632592661086,0.09163526787019927,56.41025641025641,0.027538329859710886,0.02731046537033377,-0.08473086138309771,0.15344135696107042,56.92307692307692,0.04531227329689153,0.04051134317608618,-0.12324228904594947,0.22529670227723342,0.19992188563523924,-0.15883747762071318,30.76923076923077,9.230769230769232,2.051282051282051,1.0256410256410255,186,9,-0.3235189814894946,0.0,38.17204301075269,0.25228308355458007,-0.3945685175287931,47.28260869565217,1.7720363008791828,0.8003766478342696,51.91256830601093,32.88202342336879,-20.263569958675525,9
E_Full_V9,83,28,55,51.80722891566265,-0.00360403437066417,0.005313234874493311,-0.07537943328437269,0.08450077194532835,56.62650602409639,0.017229094005352896,0.033119013789351115,-0.06677989369070492,0.13603506124501563,57.831325301204814,0.06971805254926722,0.05279136975868681,-0.08405431649026185,0.20605089808149457,0.21223743894903518,-0.1545881248433478,33.734939759036145,9.63855421686747,3.614457831325301,1.2048192771084338,76,7,0.44991048306235193,0.0,38.15789473684211,-0.9394147391295086,-2.539981179565699,40.78947368421053,1.5924704726987304,-0.5651149935590516,48.68421052631579,24.55927838549885,-21.911372892104453,7
