i,direction,label,u5,u15,u30,u45,u60,u5_raw,u30_raw,mfe,mae,o5,o15,o30,o45,o60,omfe,omae,has_opt
80,PE,C_Trend+Impulse+Pullback,-0.010344793933669827,0.1610274527408806,0.34293967814027493,0.35992075497477405,0.3917358759405465,0.010344793933669827,-0.34293967814027493,0.3917358759405465,-0.010344793933669827,0.0,0.0,-12.086309957719793,2.2743840209943174,11.66350779997084,15.614521067210955,-23.166642367692084,True
89,PE,C_Trend+Impulse+Pullback,-0.03839440852042575,0.031930043820549425,0.07600525768327593,0.1277201752822199,0.40079061139177696,0.03839440852042575,-0.07600525768327593,0.40079061139177696,-0.03839440852042575,0.0,0.0,-17.356115107913666,-3.7769784172661893,-2.2482014388489207,8.723021582733816,-21.402877697841724,True
101,PE,C_Trend+Impulse+Pullback,0.05506986989742835,0.08024466756483273,0.09460216935951449,0.12213710430822866,0.18566413279705873,-0.05506986989742835,-0.09460216935951449,0.18566413279705873,-0.019274454464102142,0.0,20.71174377224199,17.79359430604982,11.032028469750882,20.64056939501778,30.604982206405694,-14.501779359430614,True
111,PE,C_Trend+Impulse+Pullback,-0.012411420871294432,-0.02974800875499284,0.008865300622340477,0.05594989726100952,0.18991443999865076,0.012411420871294432,-0.008865300622340477,0.18991443999865076,-0.11840101497841982,0.0,-5.863956215793588,-14.308053166536364,-35.574667709147775,-16.26270523846756,5.551211884284593,-37.60750586395622,True
118,PE,C_Trend+Impulse+Pullback,0.03309268907646379,0.10715727891424942,0.2775452315995852,0.35732224990889794,0.5044665281238592,-0.03309268907646379,-0.2775452315995852,0.5044665281238592,0.03309268907646379,0.0,10.351966873706004,26.190476190476204,27.743271221532105,83.22981366459629,92.54658385093168,-7.867494824016558,True
125,PE,C_Trend+Impulse+Pullback,0.05056600344875983,0.11535369536748163,0.19456059920713864,0.14577230681713793,0.2711996981841769,-0.05056600344875983,-0.19456059920713864,0.2711996981841769,0.05056600344875983,0.0,0.8714596949891037,42.70152505446623,130.71895424836603,159.041394335512,287.79956427015253,-17.211328976034856,True
132,PE,C_Trend+Impulse+Pullback,0.03939657903072602,0.03187361419068058,0.02336078555591481,0.0427621159328484,0.006731073804244758,-0.03939657903072602,-0.02336078555591481,0.044345898004438666,-0.08136680392778484,0.0,6.692913385826784,-13.385826771653539,-23.661417322834637,-51.574803149606296,27.559055118110237,-71.25984251968504,True
139,PE,C_Trend+Impulse+Pullback,0.014256494130093778,-0.06752034025498954,-0.041779448075662806,0.009306322557145474,0.44056526999225465,-0.014256494130093778,0.041779448075662806,0.44056526999225465,-0.06752034025498954,0.0,-7.786885245901634,-66.80327868852459,-54.50819672131148,-94.26229508196722,22.540983606557376,-94.67213114754098,True
146,PE,C_Trend+Impulse+Pullback,0.011679259812069631,-0.02989098697663284,0.506563150153716,0.2727800003563208,-0.08254663290898634,-0.011679259812069631,-0.506563150153716,0.506563150153716,-0.08254663290898634,0.0,74.99999999999997,-75.00000000000001,,,469.99999999999994,-75.00000000000001,True
153,PE,C_Trend+Impulse+Pullback,0.00634952130561528,-0.027779155712082115,-0.23433702068553774,0.09008383352349103,-0.2365196686343607,-0.00634952130561528,0.23433702068553774,0.09008383352349103,-0.319658713229809,0.0,-1.211754013935171,-0.45440775522568916,-12.147833989700096,-16.601029990911847,22.387155407452276,-27.0524083611027,True
162,PE,C_Trend+Impulse+Pullback,-0.06831889831804272,-0.3268979843938924,-0.4520168970112426,-0.5223218098152849,-0.5969959544884995,0.06831889831804272,0.4520168970112426,-0.06831889831804272,-0.6490295340214169,0.0,-2.431962941517075,-20.353213665315565,-14.562825709322514,-23.074696004632308,0.6658946149392043,-32.165605095541395,True
189,CE,C_Trend+Impulse+Pullback,-0.3983443995494662,-0.9758748611800261,-1.1680568354559884,-1.1818403786929998,-1.2594220363412956,-0.3983443995494662,-1.1680568354559884,-0.3983443995494662,-1.2594220363412956,,,,,,,,False
205,PE,C_Trend+Impulse+Pullback,0.11187042971407823,0.150357048136196,0.2644210156877991,0.24428035008864368,0.33321833877398843,-0.11187042971407823,-0.2644210156877991,0.33321833877398843,0.11187042971407823,0.0,10.559190957763237,11.094586555621659,7.079119571683526,23.52766210588936,26.710291493158838,-8.982748364069003,True
212,PE,C_Trend+Impulse+Pullback,0.04213645822099821,0.1747364973619825,0.17373800309133935,0.06689911613286803,-0.045531338741167104,-0.04213645822099821,-0.17373800309133935,0.20988349568850095,-0.045531338741167104,0.0,2.415715423413863,11.547650650384922,9.901778603663395,8.62755508362092,13.299707990443329,-9.795593310326515,True
219,PE,C_Trend+Impulse+Pullback,-0.13608083201421817,-0.14908855860380488,-0.4636754232013818,-0.37942537867492465,-0.2115256462338566,0.13608083201421817,0.4636754232013818,-0.13608083201421817,-0.47408160447304226,0.0,-15.608465608465607,-12.010582010582006,-15.317460317460311,-35.661375661375665,2.9365079365079425,-50.317460317460316,True
228,PE,C_Trend+Impulse+Pullback,-0.010964934140611504,0.1672650862541647,0.1828153564899515,0.08472903654114239,0.24421898767740258,0.010964934140611504,-0.1828153564899515,0.24421898767740258,-0.010964934140611504,0.0,0.0,-2.3255813953488302,1.313639220615967,13.230672532998122,13.984915147705845,-7.919547454431172,True
235,PE,C_Trend+Impulse+Pullback,-0.07268196448966258,-0.03554227933835197,0.2781482871816121,0.5405221919602465,0.7014608276159406,0.07268196448966258,-0.2781482871816121,0.8184708034152388,-0.07268196448966258,0.0,0.0,-4.591970611388088,-1.6990291262135946,0.5969561794804491,7.550511676725264,-9.242980844922595,True
242,PE,C_Trend+Impulse+Pullback,0.28911976646169846,0.3021341603813732,0.3309660484495769,-0.011412622360329472,0.09550562922592265,-0.28911976646169846,-0.3309660484495769,0.5474054304060227,-0.011412622360329472,0.0,27.217944425845335,32.94275192500839,52.69501171744226,38.66755942417141,72.07900903916973,-8.001339136257107,True
249,PE,C_Trend+Impulse+Pullback,-0.21564143287107207,-0.2588098761366897,-0.15661109649853788,0.08091573319091161,-0.018472078048548113,0.21564143287107207,0.15661109649853788,0.08091573319091161,-0.2921399300068961,0.0,-15.296870429950266,-18.01696402456858,-9.681193331383437,-10.389002632348635,7.399824510090673,-32.173150043872475,True
256,PE,C_Trend+Impulse+Pullback,-0.015662619151379786,-0.025903562442652905,-0.1598390364677904,-0.03534129449538348,0.3431720016626505,0.015662619151379786,0.1598390364677904,0.3431720016626505,-0.1598390364677904,0.0,0.5599764220453808,0.17683465959327024,-7.933981727085179,-13.645741231948131,10.050103153551419,-19.746536987916297,True
263,PE,C_Trend+Impulse+Pullback,0.1219588027978391,0.19136298991633272,0.41943397475372457,0.5319650411510723,0.5227378948867489,-0.1219588027978391,-0.41943397475372457,0.5931450326861709,0.07060772793558989,0.0,8.493543758967007,15.868005738880923,34.86370157819225,35.064562410329984,40.48780487804879,-6.542324246771883,True
272,PE,C_Trend+Impulse+Pullback,0.0524323572176133,-0.0092764939692902,0.2553052470673167,0.046180806933970864,0.12402269111090325,-0.0524323572176133,-0.2553052470673167,0.36379989392529843,-0.10264642239909971,0.0,2.0043931905546435,-3.5420098846787416,4.255903349807798,16.447007138934662,26.85337726523888,-13.267435475013729,True
280,PE,C_Trend+Impulse+Pullback,-0.16794087511142752,-0.3170869230442852,0.03233518654370826,-0.03051633230064521,-0.5094812829793849,0.16794087511142752,-0.03233518654370826,0.07659397312540506,-0.5622280560288129,0.0,-12.377936130905248,-20.195302190551594,-8.999736078120868,-0.3167062549485323,10.002639218791247,-23.911322248614404,True
287,PE,C_Trend+Impulse+Pullback,-0.18060909557922056,-0.3832634223097653,-0.3147007309308725,-0.22753105546093888,-0.3927691641823605,0.18060909557922056,0.3147007309308725,-0.10719240835048716,-0.6393117033884899,0.0,-9.156976744186046,-20.348837209302324,-32.906976744186046,-21.918604651162784,1.104651162790701,-44.30232558139535,True
295,PE,C_Trend+Impulse+Pullback,0.08689621245417944,-0.05403291168843971,-0.041331145134826386,0.05383129634634054,-0.29939878304978684,-0.08689621245417944,0.041331145134826386,0.0889123658753932,-0.3205683939724979,0.0,6.984027560288133,-5.355465079862205,-7.297212652677736,16.724083933604753,22.455371124334476,-12.308174130911372,True
360,CE,C_Trend+Impulse+Pullback,0.058566382896230174,-0.03258129833474399,-0.14691567040518994,-0.018389444458877247,-0.014191853875877847,0.058566382896230174,-0.14691567040518994,0.077355597886819,-0.29942812825437537,0.0,2.883625128733257,-7.998626845176797,-14.795743220048069,-24.304840370751805,12.873326467559219,-35.770683144524554,True
