variant,model,model_description,period,trades,win_rate_pct,gross_pnl,total_cost,net_pnl,final_capital,max_drawdown_pct,profit_factor,expectancy_per_trade,max_position_value,max_quantity,max_lots,max_allocation_pct,max_account_risk_pct,accounting_valid
V8-H,MODEL_3,"20% Allocation + 3% Risk, Compounding",FULL,187,82.89,407533.15,25061.26,382471.89,482471.89,5.22,5.0,2045.3,64688.0,1300,52,14.49,3.0,True
V8-H,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",FULL,187,82.89,160121.55,10147.08,149974.47,249974.47,3.07,5.15,802.0,14442.0,300,12,14.44,3.0,True
V8-I,MODEL_1,Unconstrained Compounding,FULL,0,0.0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True
V8-I,MODEL_2,Fixed ₹100k Capital,FULL,0,0.0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True
V8-I,MODEL_3,"20% Allocation + 3% Risk, Compounding",FULL,0,0.0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True
V8-I,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",FULL,0,0.0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True
V8-J,MODEL_1,Unconstrained Compounding,FULL,0,0.0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True
V8-J,MODEL_2,Fixed ₹100k Capital,FULL,0,0.0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True
V8-J,MODEL_3,"20% Allocation + 3% Risk, Compounding",FULL,0,0.0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True
V8-J,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",FULL,0,0.0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True
